Time,Price,%,SD
12/03 09:25,"1,495.72",0.08,10.57
Base,High,Low,CALL,,PUT,Low,High,Base
3156,3580,3420,3430,1470,510,480,560,641
2405,2760,2630,2650,1480,710,660,770,864
1718,2010,1860,1900,1490,970,920,1000,1184
1160,1390,1290,1300,1500,1400,1300,1500,1622
734,890,810,840,1510,1950,1800,1950,2206
440,550,490,520,1520,2600,2490,2600,2908
260,320,290,300,1530,3400,3230,3400,3748
146,190,165,180,1540,4180,4100,4230,4608
Time,Price,%,SD
12/03 10:37,"1,498.37",0.26,10.57
Base,High,Low,CALL,,PUT,Low,High,Base
4875,5300,5210,5210,1450,280,260,290,360
3959,4380,4380,4380,1460,380,360,410,478
3156,3580,3420,3430,1470,510,480,560,641
2405,2760,2630,2650,1480,710,660,770,864
1718,2010,1860,1900,1490,970,920,1000,1184
1160,1390,1290,1300,1500,1400,1300,1500,1622
734,890,810,840,1510,1950,1800,1950,2206
440,550,490,520,1520,2600,2490,2600,2908
260,320,290,300,1530,3400,3230,3400,3748
146,190,165,180,1540,4180,4100,4230,4608
Time,Price,%,SD
12/03 10:41,"1,499.01",0.30,10.57
Base,High,Low,CALL,,PUT,Low,High,Base
4875,5300,5090,5110,1450,300,260,300,360
3959,4380,4220,4220,1460,410,360,410,478
3156,3580,3370,3370,1470,540,480,560,641
2405,2760,2550,2570,1480,750,660,770,864
1718,2010,1840,1860,1490,1040,920,1060,1184
1160,1390,1250,1270,1500,1460,1300,1500,1622
734,890,790,820,1510,2000,1800,2010,2206
440,550,490,500,1520,2670,2490,2700,2908
260,320,290,290,1530,3490,3230,3490,3748
146,190,165,175,1540,4350,4100,4380,4608
Time,Price,%,SD
12/03 10:45,"1,499.31",0.32,10.57
Base,High,Low,CALL,,PUT,Low,High,Base
4875,5300,5090,5170,1450,290,260,300,360
3959,4380,4220,4220,1460,390,360,410,478
3156,3580,3370,3420,1470,530,480,560,641
2405,2760,2550,2600,1480,730,660,770,864
1718,2010,1840,1890,1490,1010,920,1060,1184
1160,1390,1250,1290,1500,1420,1300,1500,1622
734,890,790,840,1510,1980,1800,2010,2206
440,550,490,510,1520,2670,2490,2700,2908
260,320,290,300,1530,3410,3230,3490,3748
146,190,165,175,1540,4380,4100,4380,4608
Time,Price,%,SD
12/03 10:47,"1,499.31",0.32,10.57
Base,High,Low,CALL,,PUT,Low,High,Base
4875,5300,5090,5170,1450,290,260,300,360
3959,4380,4220,4220,1460,390,360,410,478
3156,3580,3370,3420,1470,530,480,560,641
2405,2760,2550,2600,1480,730,660,770,864
1718,2010,1840,1890,1490,1010,920,1060,1184
1160,1390,1250,1290,1500,1420,1300,1500,1622
734,890,790,840,1510,1980,1800,2010,2206
440,550,490,510,1520,2670,2490,2700,2908
260,320,290,300,1530,3410,3230,3490,3748
146,190,165,175,1540,4380,4100,4380,4608
Time,Price,%,SD
12/03 10:49,"1,499.31",0.32,10.57
Base,High,Low,CALL,,PUT,Low,High,Base
4875,5300,5090,5110,1450,310,260,310,360
3959,4380,4220,4250,1460,420,360,420,478
3156,3580,3370,3380,1470,570,480,570,641
2405,2760,2550,2580,1480,770,660,770,864
1718,2010,1840,1850,1490,1070,920,1080,1184
1160,1390,1250,1260,1500,1490,1300,1500,1622
734,890,790,810,1510,1980,1800,2010,2206
440,550,490,500,1520,2660,2490,2700,2908
260,320,290,300,1530,3450,3230,3490,3748
146,190,165,175,1540,4380,4100,4380,4608
Time,Price,%,SD
12/03 10:55,"1,499.70",0.35,10.57
Base,High,Low,CALL,,PUT,Low,High,Base
4875,5300,5090,5110,1450,290,260,310,360
3959,4380,4220,4250,1460,390,360,420,478
3156,3580,3370,3380,1470,540,480,570,641
2405,2760,2550,2610,1480,730,660,770,864
1718,2010,1840,1890,1490,1030,920,1080,1184
1160,1390,1250,1300,1500,1430,1300,1500,1622
734,890,790,840,1510,1970,1800,2010,2206
440,550,490,520,1520,2650,2490,2720,2908
260,320,290,320,1530,3440,3230,3490,3748
146,190,165,185,1540,4380,4100,4380,4608
Time,Price,%,SD
12/03 10:57,"1,499.14",0.31,10.57
Base,High,Low,CALL,,PUT,Low,High,Base
4875,5300,5090,5110,1450,290,260,310,360
3959,4380,4220,4250,1460,390,360,420,478
3156,3580,3370,3380,1470,540,480,570,641
2405,2760,2550,2610,1480,730,660,770,864
1718,2010,1840,1890,1490,1030,920,1080,1184
1160,1390,1250,1300,1500,1430,1300,1500,1622
734,890,790,840,1510,1970,1800,2010,2206
440,550,490,520,1520,2650,2490,2720,2908
260,320,290,320,1530,3440,3230,3490,3748
146,190,165,185,1540,4380,4100,4380,4608
Time,Price,%,SD
12/03 10:59,"1,499.14",0.31,10.57
Base,High,Low,CALL,,PUT,Low,High,Base
4875,5300,5090,5140,1450,290,260,310,360
3959,4380,4220,4250,1460,390,360,420,478
3156,3580,3370,3380,1470,530,480,570,641
2405,2760,2550,2620,1480,730,660,770,864
1718,2010,1840,1920,1490,1010,920,1080,1184
1160,1390,1250,1310,1500,1420,1300,1500,1622
734,890,790,850,1510,1960,1800,2010,2206
440,550,490,520,1520,2640,2490,2720,2908
260,320,290,320,1530,3440,3230,3490,3748
146,190,165,185,1540,4310,4100,4380,4608
Time,Price,%,SD
12/03 11:01,"1,498.94",0.30,10.57
Base,High,Low,CALL,,PUT,Low,High,Base
4875,5300,5090,5140,1450,290,260,310,360
3959,4380,4220,4250,1460,390,360,420,478
3156,3580,3370,3380,1470,530,480,570,641
2405,2760,2550,2620,1480,730,660,770,864
1718,2010,1840,1920,1490,1010,920,1080,1184
1160,1390,1250,1310,1500,1420,1300,1500,1622
734,890,790,850,1510,1960,1800,2010,2206
440,550,490,520,1520,2640,2490,2720,2908
260,320,290,320,1530,3440,3230,3490,3748
146,190,165,185,1540,4310,4100,4380,4608
Time,Price,%,SD
12/03 11:03,"1,498.94",0.30,10.57
Base,High,Low,CALL,,PUT,Low,High,Base
4875,5300,5090,5140,1450,290,260,310,360
3959,4380,4220,4250,1460,390,360,420,478
3156,3580,3370,3380,1470,530,480,570,641
2405,2760,2550,2620,1480,730,660,770,864
1718,2010,1840,1920,1490,1010,920,1080,1184
1160,1390,1250,1310,1500,1420,1300,1500,1622
734,890,790,850,1510,1960,1800,2010,2206
440,550,490,520,1520,2640,2490,2720,2908
260,320,290,320,1530,3440,3230,3490,3748
146,190,165,185,1540,4310,4100,4380,4608
Time,Price,%,SD
12/03 11:05,"1,498.94",0.30,10.57
Base,High,Low,CALL,,PUT,Low,High,Base
4875,5300,5090,5140,1450,290,260,310,360
3959,4380,4220,4230,1460,390,360,420,478
3156,3580,3370,3400,1470,540,480,570,641
2405,2760,2550,2600,1480,730,660,770,864
1718,2010,1840,1900,1490,1020,920,1080,1184
1160,1390,1250,1310,1500,1410,1300,1500,1622
734,890,790,840,1510,1970,1800,2010,2206
440,550,490,530,1520,2670,2490,2720,2908
260,320,290,320,1530,3440,3230,3490,3748
146,190,165,185,1540,4310,4100,4380,4608
Time,Price,%,SD
12/03 11:11,"1,498.73",0.28,10.57
Base,High,Low,CALL,,PUT,Low,High,Base
4875,5300,5090,5140,1450,290,260,310,360
3959,4380,4220,4230,1460,390,360,420,478
3156,3580,3370,3400,1470,530,480,570,641
2405,2760,2550,2600,1480,740,660,770,864
1718,2010,1840,1880,1490,1030,920,1080,1184
1160,1390,1250,1290,1500,1440,1300,1500,1622
734,890,790,840,1510,1970,1800,2010,2206
440,550,490,520,1520,2650,2490,2720,2908
260,320,290,310,1530,3420,3230,3490,3748
146,190,165,180,1540,4310,4100,4380,4608
Time,Price,%,SD
12/03 11:27,"1,499.18",0.31,10.57
Base,High,Low,CALL,,PUT,Low,High,Base
4875,5300,5090,5140,1450,290,260,310,360
3959,4380,4220,4300,1460,400,360,420,478
3156,3580,3370,3410,1470,540,480,570,641
2405,2760,2550,2640,1480,740,660,770,864
1718,2010,1840,1920,1490,1030,920,1080,1184
1160,1390,1250,1310,1500,1430,1300,1500,1622
734,890,790,860,1510,1970,1800,2010,2206
440,550,490,530,1520,2640,2490,2720,2908
260,320,290,320,1530,3420,3230,3490,3748
146,190,165,185,1540,4310,4100,4380,4608
Time,Price,%,SD
12/03 11:31,"1,499.65",0.34,10.57
Base,High,Low,CALL,,PUT,Low,High,Base
4875,5300,5090,5140,1450,290,260,310,360
3959,4380,4220,4300,1460,400,360,420,478
3156,3580,3370,3410,1470,540,480,570,641
2405,2760,2550,2640,1480,740,660,770,864
1718,2010,1840,1920,1490,1030,920,1080,1184
1160,1390,1250,1310,1500,1430,1300,1500,1622
734,890,790,860,1510,1970,1800,2010,2206
440,550,490,530,1520,2640,2490,2720,2908
260,320,290,320,1530,3420,3230,3490,3748
146,190,165,185,1540,4310,4100,4380,4608
Time,Price,%,SD
12/03 11:33,"1,499.65",0.34,10.57
Base,High,Low,CALL,,PUT,Low,High,Base
4875,5300,5090,5200,1450,290,260,310,360
3959,4380,4220,4300,1460,400,360,420,478
3156,3580,3370,3450,1470,530,480,570,641
2405,2760,2550,2660,1480,740,660,770,864
1718,2010,1840,1940,1490,1030,920,1080,1184
1160,1390,1250,1340,1500,1420,1300,1500,1622
734,890,790,870,1510,1960,1800,2010,2206
440,550,490,540,1520,2620,2490,2720,2908
260,320,290,330,1530,3400,3230,3490,3748
146,190,165,190,1540,4270,4100,4380,4608
Time,Price,%,SD
12/03 11:39,"1,499.15",0.31,10.57
Base,High,Low,CALL,,PUT,Low,High,Base
4875,5300,5090,5160,1450,300,260,310,360
3959,4380,4220,4300,1460,400,360,420,478
3156,3580,3370,3420,1470,540,480,570,641
2405,2760,2550,2630,1480,740,660,770,864
1718,2010,1840,1910,1490,1030,920,1080,1184
1160,1390,1250,1310,1500,1440,1300,1500,1622
734,890,790,850,1510,1970,1800,2010,2206
440,550,490,530,1520,2650,2490,2720,2908
260,330,290,320,1530,3400,3230,3490,3748
146,190,165,185,1540,4310,4100,4380,4608
Time,Price,%,SD
12/03 11:45,"1,498.85",0.29,10.57
Base,High,Low,CALL,,PUT,Low,High,Base
4875,5300,5090,5170,1450,300,260,310,360
3959,4380,4220,4300,1460,400,360,420,478
3156,3580,3370,3420,1470,540,480,570,641
2405,2760,2550,2620,1480,750,660,770,864
1718,2010,1840,1910,1490,1040,920,1080,1184
