Time,Price,%,SD
06/03 09:26,"1,472.93",-0.26,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
910,1150,1050,1050,1500,2490,2390,2670,3179
579,780,680,680,1510,3110,3000,3300,3843
350,500,420,420,1520,3840,3730,4040,4661
203,270,250,250,1530,4670,4550,4770,5510
Time,Price,%,SD
06/03 10:51,"1,484.69",0.54,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
4768,5290,5130,5130,1440,620,580,800,944
3821,4460,4340,4340,1450,800,730,890,1153
3100,3650,3480,3490,1460,1000,930,1100,1408
2433,2890,2750,2780,1470,1250,1180,1410,1733
1837,2220,2100,2110,1480,1570,1480,1800,2116
1320,1670,1510,1530,1490,2010,1880,2140,2589
910,1150,1030,1040,1500,2510,2390,2670,3179
579,780,670,670,1510,3160,3000,3300,3843
350,500,410,410,1520,3840,3730,4040,4661
203,270,240,240,1530,4710,4550,4770,5510
Time,Price,%,SD
06/03 10:57,"1,484.69",0.54,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
4768,5290,5130,5170,1440,630,580,800,944
3821,4460,4340,4340,1450,790,730,890,1153
3100,3650,3480,3490,1460,1000,930,1100,1408
2433,2890,2750,2810,1470,1250,1180,1410,1733
1837,2220,2100,2130,1480,1570,1480,1800,2116
1320,1670,1510,1550,1490,2000,1880,2140,2589
910,1150,1030,1060,1500,2500,2390,2670,3179
579,780,670,690,1510,3130,3000,3300,3843
350,500,410,420,1520,3860,3730,4040,4661
203,270,240,250,1530,4690,4550,4770,5510
Time,Price,%,SD
06/03 10:59,"1,484.69",0.54,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
4768,5290,5130,5170,1440,630,580,800,944
3821,4460,4340,4340,1450,790,730,890,1153
3100,3650,3480,3490,1460,1000,930,1100,1408
2433,2890,2750,2810,1470,1250,1180,1410,1733
1837,2220,2100,2130,1480,1570,1480,1800,2116
1320,1670,1510,1550,1490,2000,1880,2140,2589
910,1150,1030,1060,1500,2500,2390,2670,3179
579,780,670,690,1510,3130,3000,3300,3843
350,500,410,420,1520,3860,3730,4040,4661
203,270,240,250,1530,4690,4550,4770,5510
Time,Price,%,SD
06/03 11:03,"1,485.20",0.57,10.50
Base,High,Low,CALL,,PUT,Low,High,Base
4768,5290,5130,5170,1440,610,580,800,944
3821,4460,4340,4350,1450,780,730,890,1153
3100,3650,3480,3490,1460,980,930,1100,1408
2433,2890,2750,2820,1470,1220,1180,1410,1733
